id_str	tweet_url	created_at	text	lang	retweet_count	screen_name	hashtags	query	user_mention	url	media	in_reply_to_screen_name	in_reply_to_status_id
347036575894479000	https://twitter.com/SOSViaGaribaldi/status/347036575894478848	2013-06-18 17:02:22+00:00	RT @g_gattiglia: #archeofoss @stekosteko facciamo fatica ad allargare la nostra platea: dobbiamo renderci più 'generalisti',più divulgativi	it	6	SOSViaGaribaldi	archeofoss	#archeofoss	g_gattiglia				
347078776661885000	https://twitter.com/sebattiato/status/347078776661884929	2013-06-18 19:50:03+00:00	"RT @FilippoStanco: ""@GioSkellington: Bella la prima giornata di #archeofoss. Domani ancora #Blender con @GalloGioProf.
Complimenti a @Filip…"	it	1	sebattiato	archeofoss	#archeofoss	FilippoStanco				
347078848011178000	https://twitter.com/sebattiato/status/347078848011177984	2013-06-18 19:50:20+00:00	RT @FilippoStanco: #archeofoss domani il tutorial di G. Gallo @GalloGioProf è anticipato alle 9,30. Il Barcamp @csantagati è anticipato all…	it	0	sebattiato	archeofoss	#archeofoss	FilippoStanco				
347088644391191000	https://twitter.com/antoniafalcone/status/347088644391190529	2013-06-18 20:29:16+00:00	RT @g_gattiglia: #archeofoss @stekosteko facciamo fatica ad allargare la nostra platea: dobbiamo renderci più 'generalisti',più divulgativi	it	7	antoniafalcone	archeofoss	#archeofoss	g_gattiglia				
347088746132423000	https://twitter.com/antoniafalcone/status/347088746132422656	2013-06-18 20:29:40+00:00	RT @g_gattiglia: #archeofoss Palombini crowdfunding sistema diffuso di finanziamento partecipato (modello da sfruttare in archeologia)	it	3	antoniafalcone	archeofoss	#archeofoss	g_gattiglia				
347089148659765000	https://twitter.com/antoniafalcone/status/347089148659765248	2013-06-18 20:31:16+00:00	RT @stekosteko: Serlorenzi: trasferire open source, open access, open data e digital libraries nell'archeologia #archeofoss	it	1	antoniafalcone	archeofoss	#archeofoss	stekosteko				
347095494427816000	https://twitter.com/_patsan_/status/347095494427815937	2013-06-18 20:56:29+00:00	RT @g_gattiglia: #archeofoss Palombini crowdfunding sistema diffuso di finanziamento partecipato (modello da sfruttare in archeologia)	it	4	_patsan_	archeofoss	#archeofoss	g_gattiglia				
347102891271655000	https://twitter.com/3Dwasp/status/347102891271655424	2013-06-18 21:25:52+00:00	RT @g_gattiglia: #archeofoss Palombini stampanti 3D come produttori di merchandising specifico, particolarmente adatto per le piccole realt…	it	2	3Dwasp	archeofoss	#archeofoss	g_gattiglia				
347240043187937000	https://twitter.com/FilippoStanco/status/347240043187937280	2013-06-19 06:30:52+00:00	"#archeofoss da ""La Sicilia"" del 18 giugno 2013 http://t.co/gkAveb0xFz"	it	0	FilippoStanco	archeofoss	#archeofoss			https://pbs.twimg.com/media/BNGk-sJCIAArJTU.jpg		
347246135179612000	https://twitter.com/archeomatica/status/347246135179612160	2013-06-19 06:55:04+00:00	Anche oggi #Archeofoss! Seguite gli aggiornamenti tramite i tweet di @stekosteko e @g_gattiglia	it	0	archeomatica	Archeofoss	#archeofoss	stekosteko				
347258596913996000	https://twitter.com/g_gattiglia/status/347258596913995776	2013-06-19 07:44:35+00:00	@archeomatica purtroppo oggi non ci sono, seguite @stekosteko #Archeofoss	it	1	g_gattiglia	Archeofoss	#archeofoss	archeomatica			archeomatica	347246135179612000
347259332691378000	https://twitter.com/archeomatica/status/347259332691378177	2013-06-19 07:47:31+00:00	RT @g_gattiglia: @archeomatica purtroppo oggi non ci sono, seguite @stekosteko #Archeofoss	it	1	archeomatica	Archeofoss	#archeofoss	g_gattiglia				
347260448183296000	https://twitter.com/stekosteko/status/347260448183296001	2013-06-19 07:51:57+00:00	#archeofoss riprende con G. Gallo che, t-shirt di Blender indosso, introduce la computer graphics e progetto Mango della Blender Foundation	it	0	stekosteko	archeofoss	#archeofoss					
347260774416261000	https://twitter.com/stekosteko/status/347260774416261120	2013-06-19 07:53:15+00:00	Gallo: con software open source si possono creare contenuti della stessa qualità di Quark, ma servono anche competenza, hardware #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
347261004377375000	https://twitter.com/stekosteko/status/347261004377374720	2013-06-19 07:54:09+00:00	Gallo mostra il bellissimo ”Tears of Steel” https://t.co/qyPseGKegN creato dalla @blender3d foundation #archeofoss	it	1	stekosteko	archeofoss	#archeofoss	blender3d	https://www.youtube.com/watch?v=R6MlUcmOul8			
347261655689859000	https://twitter.com/Gteronline/status/347261655689859072	2013-06-19 07:56:45+00:00	RT @stekosteko: Gallo mostra il bellissimo ”Tears of Steel” https://t.co/qyPseGKegN creato dalla @blender3d foundation #archeofoss	it	1	Gteronline	archeofoss	#archeofoss	stekosteko	https://www.youtube.com/watch?v=R6MlUcmOul8			
347261735515857000	https://twitter.com/zeridos89/status/347261735515856896	2013-06-19 07:57:04+00:00	Tutorial VFX #archeofoss http://t.co/R6a9z7z9Lv	de	0	zeridos89	archeofoss	#archeofoss			https://pbs.twimg.com/media/BNG4tWXCIAAGGYP.jpg		
347262070393303000	https://twitter.com/stekosteko/status/347262070393303040	2013-06-19 07:58:24+00:00	@g_gattiglia @archeomatica seguite anche @zeridos89 #archeofoss	it	1	stekosteko	archeofoss	#archeofoss	g_gattiglia			g_gattiglia	347258596913996000
347262256993665000	https://twitter.com/archeomatica/status/347262256993665024	2013-06-19 07:59:08+00:00	RT @stekosteko: @g_gattiglia @archeomatica seguite anche @zeridos89 #archeofoss	it	1	archeomatica	archeofoss	#archeofoss	stekosteko				
347265772428591000	https://twitter.com/Archeologi/status/347265772428591104	2013-06-19 08:13:06+00:00	Seconda giornata di #archeofoss a #Catania. Per il livetwitting vi suggeriamo di seguire @stekosteko e @zeridos89	it	0	Archeologi	archeofoss	#archeofoss	stekosteko				
347265826577064000	https://twitter.com/zeridos89/status/347265826577063936	2013-06-19 08:13:19+00:00	"Breve excursus storico ""I VFX nella storia del cinema"" #archeofoss"	it	0	zeridos89	archeofoss	#archeofoss					
347268245633503000	https://twitter.com/stekosteko/status/347268245633503232	2013-06-19 08:22:56+00:00	Effetti speciali ad #archeofoss: manca la corrente elettrica :) G. Gallo prosegue il tutorial	it	0	stekosteko	archeofoss	#archeofoss					
347272991241036000	https://twitter.com/OpenPompei/status/347272991241035776	2013-06-19 08:41:47+00:00	buongiorno da #archeofoss! vi ricordate che il 21 si chiude la call per entrare nella nostra long list di esperti? http://t.co/jLMXXCRZ8P	it	0	OpenPompei	archeofoss	#archeofoss		http://goo.gl/sW13d			
