id_str	from_user	text	created_at	time	geo_coordinates	iso_language_code	to_user	to_user_id_str	from_user_id_str	in_reply_to_status_id_str	source	profile_image_url	status_url	entities_str								
212832790297838000	Cioschi	@AlexCarabia bella presentazione ieri del tuo poster ad #archeofoss complimenti!	Wed, 13 Jun 2012 09:04:26 +0000	13/06/2012 09:04:26		it	AlexCarabia	440332760	210131899		&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/1155865821/Gortina_2010__160__normal.JPG	http://twitter.com/Cioschi/statuses/212832790297837570	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[56,67]}],""user_mentions"":[{""id"":440332760,""name"":""Alessandro Carabia"",""indices"":[0,12],""screen_name"":""AlexCarabia"",""id_str"":""440332760""}]}"		
212827484117414000	stekosteko	@Cioschi se riesci a mandare un po' di aggiornamenti sugli interventi di #archeofoss per chi non c'è, ti offro una Ζελίτα la settimana pross	Wed, 13 Jun 2012 08:43:21 +0000	13/06/2012 08:43:21		el	Cioschi	210131899	20506953		&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/1498482554/steko2_normal.jpg	http://twitter.com/stekosteko/statuses/212827484117413890	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[73,84]}],""user_mentions"":[{""id"":210131899,""name"":""Francesco Ripanti"",""indices"":[0,8],""screen_name"":""Cioschi"",""id_str"":""210131899""}]}"		
212826893114819000	Cioschi	RT @stekosteko: Ancora #archeofoss oggi a Roma. Miei highlights personali: la presentazione di @Cioschi e Sole, la tavola rotonda finale.	Wed, 13 Jun 2012 08:41:00 +0000	13/06/2012 08:41:00		it		0	210131899		&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/1155865821/Gortina_2010__160__normal.JPG	http://twitter.com/Cioschi/statuses/212826893114818560	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[23,34]}],""user_mentions"":[{""id"":20506953,""name"":""Stefano Costa"",""indices"":[3,14],""screen_name"":""stekosteko"",""id_str"":""20506953""},{""id"":210131899,""name"":""Francesco Ripanti"",""indices"":[95,103],""screen_name"":""Cioschi"",""id_str"":""210131899""}]}"		
212826120494662000	stekosteko	RT @Cioschi: Oggi sono ad #archeofoss per parlare di video, ricostruzioni 3D e narratività insieme a Maria Sole Distefano	Wed, 13 Jun 2012 08:37:55 +0000	13/06/2012 08:37:55		it		0	20506953		&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/1498482554/steko2_normal.jpg	http://twitter.com/stekosteko/statuses/212826120494661632	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[26,37]}],""user_mentions"":[{""id"":210131899,""name"":""Francesco Ripanti"",""indices"":[3,11],""screen_name"":""Cioschi"",""id_str"":""210131899""}]}"		
212826019562926000	Cioschi	Oggi sono ad #archeofoss per parlare di video, ricostruzioni 3D e narratività insieme a Maria Sole Distefano	Wed, 13 Jun 2012 08:37:31 +0000	13/06/2012 08:37:31		it		0	210131899		&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/1155865821/Gortina_2010__160__normal.JPG	http://twitter.com/Cioschi/statuses/212826019562926080	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[13,24]}],""user_mentions"":[]}"		
212825933458059000	stekosteko	RT @archeomatica Lo status degli Open Data in Archeologia #innovazione http://t.co/E7uMNGHF bel resoconto su @MappaProject e #archeofoss	Wed, 13 Jun 2012 08:37:11 +0000	13/06/2012 08:37:11		it		0	20506953		&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/1498482554/steko2_normal.jpg	http://twitter.com/stekosteko/statuses/212825933458059265	"{""urls"":[{""expanded_url"":""http://tinyurl.com/d7t37qp"",""indices"":[71,91],""display_url"":""tinyurl.com/d7t37qp"",""url"":""http://t.co/E7uMNGHF""}],""hashtags"":[{""text"":""innovazione"",""indices"":[58,70]},{""text"":""archeofoss"",""indices"":[125,136]}],""user_mentions"":[{""id"":189104700,""name"":""Archeomatica"",""indices"":[3,16],""screen_name"":""archeomatica"",""id_str"":""189104700""},{""id"":364907073,""name"":""Mappa Project"",""indices"":[109,122],""screen_name"":""MappaProject"",""id_str"":""364907073""}]}"		
212814291206799000	MorenoTiziani	@stekosteko @Cioschi atterrato dalla febbre, oggi devo lasciare, divertitevi anche per me! :( #ArcheoFOSS	Wed, 13 Jun 2012 07:50:55 +0000	13/06/2012 07:50:55		it	stekosteko	20506953	14774005	212812303761023000	&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/1849265247/Moreno_Tiziani_Anthropos_normal.jpg	http://twitter.com/MorenoTiziani/statuses/212814291206799360	"{""urls"":[],""hashtags"":[{""text"":""ArcheoFOSS"",""indices"":[94,105]}],""user_mentions"":[{""id"":20506953,""name"":""Stefano Costa"",""indices"":[0,11],""screen_name"":""stekosteko"",""id_str"":""20506953""},{""id"":210131899,""name"":""Francesco Ripanti"",""indices"":[12,20],""screen_name"":""Cioschi"",""id_str"":""210131899""}]}"		
212812303761023000	stekosteko	Ancora #archeofoss oggi a Roma. Miei highlights personali: la presentazione di @Cioschi e Sole, la tavola rotonda finale.	Wed, 13 Jun 2012 07:43:01 +0000	13/06/2012 07:43:01		it		0	20506953		&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/1498482554/steko2_normal.jpg	http://twitter.com/stekosteko/statuses/212812303761022976	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[7,18]}],""user_mentions"":[{""id"":210131899,""name"":""Francesco Ripanti"",""indices"":[79,87],""screen_name"":""Cioschi"",""id_str"":""210131899""}]}"		
212803604782920000	archeomatica	Purtroppo oggi non potremmo essere presenti ad #archeofoss ma seguiremo la giornata tramite l'hashta,g buon lavoro a tutti!	Wed, 13 Jun 2012 07:08:27 +0000	13/06/2012 07:08:27		it		0	189104700		&lt	a href=&quot	http://www.hootsuite.com&quot	 rel=&quot	nofollow&quot	&gt	HootSuite&lt	/a&gt		http://a0.twimg.com/profile_images/1798940361/iniziale_copia_normal.jpg	http://twitter.com/archeomatica/statuses/212803604782919682	"{""urls"":[],""hashtags"":[{""text"":""archeofoss"",""indices"":[47,58]}],""user_mentions"":[]}"
212590073110217000	MorenoTiziani	E domani all'#ArcheoFOSS 2012, si parla di #ArcheOS! :) http://t.co/dqe4FlaR	Tue, 12 Jun 2012 16:59:58 +0000	12/06/2012 16:59:58		it		0	14774005		&lt	a href=&quot	http://twitter.com/&quot	&gt	web&lt	/a&gt		http://a0.twimg.com/profile_images/1849265247/Moreno_Tiziani_Anthropos_normal.jpg	http://twitter.com/MorenoTiziani/statuses/212590073110216704	"{""urls"":[],""hashtags"":[{""text"":""ArcheoFOSS"",""indices"":[13,24]},{""text"":""ArcheOS"",""indices"":[43,51]}],""media"":[{""sizes"":{""orig"":{""w"":499,""resize"":""fit"",""h"":373},""thumb"":{""w"":150,""resize"":""crop"",""h"":150},""small"":{""w"":340,""resize"":""fit"",""h"":254},""large"":{""w"":499,""resize"":""fit"",""h"":373},""medium"":{""w"":499,""resize"":""fit"",""h"":373}},""id"":212590073114411009,""media_url_https"":""https://p.twimg.com/AvNFi47CQAEKR8Y.jpg"",""media_url"":""http://p.twimg.com/AvNFi47CQAEKR8Y.jpg"",""expanded_url"":""http://twitter.com/MorenoTiziani/status/212590073110216704/photo/1"",""indices"":[56,76],""id_str"":""212590073114411009"",""type"":""photo"",""display_url"":""pic.twitter.com/dqe4FlaR"",""url"":""http://t.co/dqe4FlaR""}],""user_mentions"":[]}"		
